iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,10,0.14785951375961304
1000,-1.0,2.0,10,0.04884704202413559
1500,-1.0,2.0,8,0.056490134447813034
2000,-1.0,2.0,8,0.044638920575380325
2500,-0.875,2.125,8,0.027385104447603226
3000,-1.0,2.0,9,0.021369896829128265
3500,-1.0,2.0,9,0.007159343454986811
4000,-1.0,2.0,11,0.02475660666823387
4500,-1.0,2.0,10,0.006612720899283886
5000,-1.0,2.0,8,0.01265853550285101
5500,-1.0,2.0,8,0.01632576808333397
6000,-1.0,2.0,8,0.01793625019490719
6500,-0.8888888888888888,2.111111111111111,9,0.009535660967230797
7000,-0.875,2.125,8,0.0020791320130228996
7500,-1.0,2.0,10,0.018109949305653572
8000,-1.0,2.0,8,0.0007088643033057451
8500,-1.0,2.0,12,0.011092148721218109
9000,-1.0,2.0,8,0.02601393684744835
9500,-0.8888888888888888,2.111111111111111,9,0.011487701907753944
10000,-1.0,2.0,8,0.0180969201028347
10500,-1.0,2.0,9,0.01062687672674656
11000,-1.0,2.0,10,0.0013213701313361526
11500,-1.0,2.0,9,0.009740035980939865
12000,-1.0,2.0,8,0.0015096173156052828
12500,-0.875,2.125,8,0.008769523352384567
13000,-1.0,2.0,9,0.017149966210126877
13500,-1.0,2.0,9,0.00355334859341383
14000,-1.0,2.0,9,0.0017474995693191886
14500,-1.0,2.0,8,0.008332699537277222
15000,-1.0,2.0,9,0.009018592536449432
15500,-1.0,2.0,9,0.016098881140351295
16000,-0.8888888888888888,2.111111111111111,9,0.017467625439167023
16500,-1.0,2.0,8,0.0013936327304691076
17000,-1.0,2.0,9,0.008818330243229866
17500,-0.875,2.125,8,0.0006783693097531796
18000,-1.0,2.0,9,0.0005397789645940065
18500,-1.0,2.0,8,0.0005385644035413861
19000,-1.0,2.0,10,0.0241866298019886
19500,-1.0,2.0,8,0.017248230054974556
20000,-1.0,2.0,8,0.0021348102018237114
20500,-1.0,2.0,8,0.009279714897274971
21000,-1.0,2.0,9,0.009126240387558937
21500,-1.0,2.0,8,0.009375832974910736
22000,-1.0,2.0,8,0.0011587725020945072
22500,-1.0,2.0,9,0.0006176803726702929
23000,-1.0,2.0,8,0.0008487355662509799
23500,-1.0,2.0,11,0.00854075700044632
24000,-0.8888888888888888,2.111111111111111,9,0.025103669613599777
24500,-1.0,2.0,10,0.01739548146724701
25000,-1.0,2.0,8,0.0016926478128880262
25500,-1.0,2.0,9,0.0012520491145551205
26000,-1.0,2.0,9,0.0011215541744604707
26500,-1.0,2.0,8,0.023585403338074684
27000,-1.0,2.0,9,0.010066693648695946
27500,-1.0,2.0,9,0.017901316285133362
28000,-1.0,2.0,8,0.0020482386462390423
28500,-1.0,2.0,8,0.009184002876281738
29000,-1.0,2.0,8,0.009179830551147461
29500,-1.0,2.0,8,0.00944442953914404
30000,-1.0,2.0,11,0.009522315114736557
30500,-0.8181818181818182,2.1818181818181817,11,0.0007660018745809793
31000,-1.0,2.0,9,0.008874710649251938
31500,-1.0,2.0,8,0.0009578817989677191
32000,-1.0,2.0,10,0.0007714084349572659
32500,-1.0,2.0,11,0.00035541935358196497
33000,-1.0,2.0,9,0.0003748691233340651
33500,-0.8888888888888888,2.111111111111111,9,0.016396645456552505
34000,-1.0,2.0,8,0.016851283609867096
34500,-0.9090909090909091,2.090909090909091,11,0.009276822209358215
35000,-1.0,2.0,8,0.0009524445631541312
35500,-0.8888888888888888,2.111111111111111,9,0.0012001707218587399
36000,-1.0,2.0,10,0.0011402929667383432
36500,-0.9,2.1,10,0.0004163713601883501
37000,-1.0,2.0,8,0.016443386673927307
37500,-1.0,2.0,11,0.0007861689082346857
38000,-0.875,2.125,8,0.000512491911649704
38500,-1.0,2.0,9,0.008597994223237038
39000,-1.0,2.0,8,0.0004351397801656276
39500,-1.0,2.0,8,0.008835503831505775
40000,-0.75,2.25,8,0.008679492399096489
40500,-1.0,2.0,9,0.024955881759524345
41000,-1.0,2.0,9,0.017099441960453987
41500,-0.9166666666666666,2.0833333333333335,12,0.009646555408835411
42000,-1.0,2.0,8,0.0010235535446554422
42500,-0.875,2.125,8,0.0009289846057072282
43000,-1.0,2.0,10,0.008809945546090603
43500,-0.8888888888888888,2.111111111111111,9,0.00894331093877554
44000,-1.0,2.0,9,0.0013890165137127042
44500,-1.0,2.0,9,0.0005261313635855913
45000,-1.0,2.0,8,0.0007991749444045126
45500,-1.0,2.0,8,0.016037840396165848
46000,-1.0,2.0,10,0.01669657975435257
46500,-1.0,2.0,9,0.009580682963132858
47000,-1.0,2.0,13,0.0009356440277770162
47500,-0.7777777777777778,2.2222222222222223,9,0.024594038724899292
48000,-1.0,2.0,10,0.002538895234465599
48500,-0.875,2.125,8,0.001330246333964169
49000,-1.0,2.0,9,0.0008931549964472651
49500,-1.0,2.0,8,0.00870533101260662
50000,-1.0,2.0,8,0.008476282469928265
50500,-1.0,2.0,10,0.017042960971593857
51000,-1.0,2.0,10,0.02424905076622963
51500,-1.0,2.0,9,0.01778581365942955
52000,-0.75,2.25,8,0.009522336535155773
52500,-1.0,2.0,9,0.009035643190145493
53000,-1.0,2.0,9,0.009155314415693283
53500,-1.0,2.0,8,0.0008070049807429314
54000,-1.0,2.0,9,0.0006939281011000276
54500,-1.0,2.0,8,0.000651672831736505
55000,-0.8888888888888888,2.111111111111111,9,0.0005432004691101611
55500,-1.0,2.0,10,0.0004955442855134606
56000,-1.0,2.0,10,0.00823267363011837
56500,-1.0,2.0,8,0.0006429009372368455
57000,-1.0,2.0,9,0.01600564457476139
57500,-1.0,2.0,11,0.0006677857600152493
58000,-1.0,2.0,11,0.000617762329056859
58500,-0.9090909090909091,2.090909090909091,11,0.03134150058031082
59000,-0.875,2.125,8,0.00872187688946724
59500,-1.0,2.0,11,0.01700621098279953
60000,-1.0,2.0,11,0.0009204481029883027
60500,-1.0,2.0,8,0.0008198698051273823
61000,-1.0,2.0,9,0.0010220708791166544
61500,-1.0,2.0,11,0.008923064917325974
62000,-1.0,2.0,8,0.0006519979215227067
62500,-1.0,2.0,8,0.024499325081706047
63000,-0.9,2.1,10,0.009128824807703495
63500,-1.0,2.0,11,0.0007466784445568919
64000,-1.0,2.0,9,0.008769654668867588
64500,-1.0,2.0,9,0.0006307177827693522
65000,-0.875,2.125,8,0.01630457118153572
65500,-0.8888888888888888,2.111111111111111,9,0.00880538858473301
66000,-1.0,2.0,10,0.0005534820957109332
66500,-1.0,2.0,8,0.0005593276582658291
67000,-1.0,2.0,8,0.008220798335969448
67500,-1.0,2.0,8,0.0005670752143487334
68000,-0.875,2.125,8,0.008441608399152756
68500,-1.0,2.0,8,0.016491945832967758
69000,-1.0,2.0,8,0.016371332108974457
69500,-1.0,2.0,9,0.008650753647089005
70000,-1.0,2.0,10,0.0013961057411506772
70500,-0.875,2.125,8,0.009159645065665245
71000,-0.9,2.1,10,0.0010485653765499592
